rollout/episode_reward,rollout/rew_surface_coverage_2d,time/total_timesteps,rollout/rew_collision,rollout/rew_termination,rollout/total_reward,rollout/episode_length,time/iterations,time/fps,time/training,train/n_updates,train/policy_gradient_loss,train/clip_range_vf,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate
0.536,0.574,819200,-0.067,0.021,0.529,18.248,50,247,6.74089789390564,245,-0.040877200406976046,0.2,3.4196863174438477,6.080072876811028,0.45994873046875,0.2,0.09750642,-3.668092209473252,0.6186047196388245,0.0001
0.567,0.606,835584,-0.061,0.022,0.567,19.996,51,247,6.771814346313477,250,-0.04397579422511626,0.2,3.879812240600586,5.736858485266566,0.45538330078125,0.2,0.105754495,-3.703062354400754,0.6418235599994659,0.0001
0.51,0.582,851968,-0.062,0.02,0.54,18.311,52,246,6.738656997680664,255,-0.044323095467552774,0.2,4.2540974617004395,5.868291440978647,0.47216796875,0.2,0.110473424,-3.653326839208603,0.6271449029445648,0.0001
0.556,0.618,868352,-0.061,0.023,0.58,19.84,53,247,6.7784082889556885,260,-0.04103192541806493,0.2,5.783616542816162,6.110966555774212,0.4771240234375,0.2,0.11380106,-3.6360221337527037,0.6122339963912964,0.0001
0.554,0.591,884736,-0.066,0.021,0.545,19.869,54,236,6.791268825531006,265,-0.042460200282221194,0.2,4.520448207855225,6.255490697547794,0.47412109375,0.2,0.11016977,-3.6050948567688463,0.5976767539978027,0.0001
0.544,0.615,901120,-0.06,0.022,0.577,19.843,55,233,7.130571603775024,270,-0.04314496414808673,0.2,3.5020194053649902,5.8829464506357905,0.46759033203125,0.2,0.110336706,-3.632346648350358,0.6189824938774109,0.0001
0.575,0.586,917504,-0.065,0.022,0.544,19.698,56,247,6.867236375808716,275,-0.04339951401343569,0.2,5.4686126708984375,5.628757331520319,0.46820068359375,0.2,0.11013547,-3.630756854638457,0.6404013931751251,0.0001
0.547,0.595,933888,-0.061,0.02,0.554,19.051,57,247,6.696203231811523,280,-0.0425245441016159,0.2,3.3489737510681152,5.921147938072681,0.478076171875,0.2,0.11351779,-3.6145422350615264,0.6312747299671173,0.0001
0.532,0.6,950272,-0.064,0.02,0.556,19.006,58,248,6.727747917175293,285,-0.04098513121571159,0.2,4.00156831741333,6.117096396908164,0.471728515625,0.2,0.1077601,-3.610073570162058,0.6083824038505554,0.0001
0.543,0.588,966656,-0.068,0.019,0.539,18.858,59,248,6.763678550720215,290,-0.04266206948304898,0.2,3.59885311126709,6.054997313395143,0.4583984375,0.2,0.11003031,-3.5416986543685196,0.6139831840991974,0.0001
0.543,0.608,983040,-0.062,0.022,0.568,18.567,60,247,1.3808746337890625,295,0.025977728782560338,0.2,4.198718070983887,6.008439094731302,0.3484256628787879,0.2,0.2579629,-3.5035463734106584,0.6333192586898804,0.0001
0.558,0.564,999424,-0.068,0.02,0.516,19.266,61,248,6.7558534145355225,300,-0.041293007221247534,0.2,3.724379062652588,6.046141571924091,0.48226318359375,0.2,0.1197963,-3.5021891843527557,0.608147531747818,0.0001
0.564,0.608,1015808,-0.06,0.02,0.568,20.623,62,248,6.702746152877808,305,-0.0406812735258427,0.2,4.749243259429932,5.8916356805711985,0.48858642578125,0.2,0.12184726,-3.533329961821437,0.6160496473312378,0.0001
0.566,0.589,1032192,-0.056,0.023,0.557,20.685,63,249,6.748896598815918,310,-0.04122536413051421,0.2,4.04055643081665,5.890180571004748,0.487841796875,0.2,0.11731897,-3.528899648785591,0.6233649253845215,0.0001
0.56,0.605,1048576,-0.062,0.021,0.565,19.07,64,249,6.830811977386475,315,-0.04107527045198367,0.2,3.8285560607910156,5.716902476549149,0.4671630859375,0.2,0.11655857,-3.5445526760071515,0.6396051347255707,0.0001
0.531,0.549,1064960,-0.069,0.017,0.497,18.4,65,248,6.754298448562622,320,-0.042309814311010996,0.2,2.934282064437866,5.909543318673968,0.476953125,0.2,0.11289949,-3.5291564777493476,0.6222290694713593,0.0001
0.537,0.564,1081344,-0.067,0.017,0.514,18.762,66,249,1.5379300117492676,325,0.017937151195646144,0.2,4.010447978973389,6.11086843127296,0.36580569727891155,0.2,0.19280548,-3.5603608728266085,0.6069810390472412,0.0001
0.579,0.628,1097728,-0.054,0.025,0.599,20.06,67,248,6.753349542617798,330,-0.039642807064228694,0.2,4.111697196960449,6.237274660170078,0.4807373046875,0.2,0.11690131,-3.519594778120518,0.604968398809433,0.0001
0.567,0.569,1114112,-0.069,0.02,0.521,19.35,68,248,6.710351467132568,335,-0.041083038107171885,0.2,4.039291858673096,5.647873664274812,0.4724853515625,0.2,0.113531426,-3.527048857882619,0.6244757771492004,0.0001
0.555,0.599,1130496,-0.066,0.02,0.553,20.005,69,249,6.73551869392395,340,-0.04234912774845725,0.2,3.404696464538574,5.692434406280517,0.4826904296875,0.2,0.12021464,-3.554872741177678,0.6344698667526245,0.0001
0.557,0.563,1146880,-0.065,0.019,0.517,19.736,70,249,6.758633613586426,345,-0.04139394996600458,0.2,1.8593543767929077,5.879574915766716,0.470068359375,0.2,0.113531545,-3.5439798586070537,0.6229473352432251,0.0001
0.533,0.622,1163264,-0.063,0.021,0.58,18.505,71,248,6.744814395904541,350,-0.04059170650652959,0.2,4.378905773162842,5.886592711508274,0.47484130859375,0.2,0.11294718,-3.516316967830062,0.6197094917297363,0.0001
0.588,0.636,1179648,-0.058,0.023,0.6,20.966,72,248,6.723977565765381,355,-0.042800233168964044,0.2,5.767326354980469,6.039498403668404,0.48134765625,0.2,0.12485127,-3.447802349179983,0.6114933788776398,0.0001
0.556,0.573,1196032,-0.064,0.018,0.526,18.655,73,248,6.694693326950073,360,-0.04164905486250063,0.2,4.25,5.497554202377796,0.48385009765625,0.2,0.12350619,-3.5233898922801017,0.6395992338657379,0.0001
0.55,0.546,1212416,-0.067,0.019,0.498,19.415,74,248,6.782020807266235,365,-0.041301151795778424,0.2,3.4694104194641113,6.054044159501791,0.47987060546875,0.2,0.12565197,-3.519100036472082,0.6218438148498535,0.0001
0.553,0.599,1228800,-0.068,0.018,0.549,19.113,75,248,6.724113702774048,370,-0.041175007430138064,0.2,3.1789562702178955,6.078561617806554,0.4782958984375,0.2,0.11943311,-3.4763198304921388,0.6047576367855072,0.0001
0.56,0.603,1245184,-0.062,0.023,0.564,19.242,76,248,6.742011547088623,375,-0.040610451774409737,0.2,4.070502281188965,5.850081599131227,0.47685546875,0.2,0.12291223,-3.452616890147328,0.6278924942016602,0.0001
0.554,0.557,1261568,-0.065,0.019,0.512,18.581,77,249,6.714481830596924,380,-0.041304688678792445,0.2,3.144357204437256,5.896310772746801,0.47716064453125,0.2,0.12604451,-3.429137707129121,0.6204424500465393,0.0001
0.515,0.58,1277952,-0.067,0.016,0.529,17.326,78,248,6.75362491607666,385,-0.042502670618705454,0.2,3.8937344551086426,6.574606528878212,0.4570556640625,0.2,0.11662638,-3.4026432745158672,0.5826974511146545,0.0001
