time/fps,rollout/episode_length,rollout/total_reward,rollout/episode_reward,time/iterations,time/total_timesteps,rollout/rew_surface_coverage_2d,rollout/rew_collision,rollout/rew_termination,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range_vf,train/n_updates,time/training,train/approx_kl,train/loss
119,11.357,0.473,0.475,89,1458176,0.539,-0.082,0.016,-7.091489894330994,0.46347635984420776,0.0001,0.2,-0.004615663977971008,8.048917766444939,0.419582902892562,0.2,440,2.696183204650879,0.044163357,4.36904764175415
119,13.239,0.528,0.525,90,1474560,0.585,-0.077,0.02,-7.0774896768423226,0.4190436601638794,0.0001,0.2,-0.009644793801439497,8.636934049312885,0.410546875,0.2,445,2.9665660858154297,0.064099774,4.957083702087402
119,12.365,0.51,0.509,91,1490944,0.571,-0.081,0.02,-7.050267421773502,0.44389283657073975,0.0001,0.2,-0.0014834840923348175,8.342483307634081,0.39212472098214285,0.2,450,2.525428056716919,0.04131482,6.190439224243164
120,12.839,0.516,0.524,92,1507328,0.576,-0.08,0.019,-7.028991027789957,0.43984848260879517,0.0001,0.2,-0.010425745975226164,8.756212834049673,0.4041532628676471,0.2,455,3.0552549362182617,0.0537967,7.483896732330322
120,13.249,0.511,0.532,93,1523712,0.576,-0.082,0.018,-7.040490501966232,0.43910080194473267,0.0001,0.2,-0.017256804141932383,8.454448826802082,0.44185697115384615,0.2,460,3.483980655670166,0.05366201,6.9032816886901855
119,12.854,0.48,0.5,94,1540096,0.545,-0.082,0.017,-7.01335410135133,0.44821250438690186,0.0001,0.2,0.019314955562419658,8.455542487757546,0.34375,0.2,465,1.243598222732544,0.027449135,5.772678375244141
119,12.79,0.528,0.518,95,1556480,0.584,-0.075,0.019,-6.978740906324543,0.4279605746269226,0.0001,0.2,-0.018184529357879866,8.532541545492704,0.4424436475409836,0.2,470,3.3982372283935547,0.05388939,5.805976867675781
120,12.604,0.528,0.521,96,1572864,0.585,-0.078,0.022,-6.975354600207237,0.4484736919403076,0.0001,0.2,-0.014805120492214835,8.11274489643735,0.41564724199288255,0.2,475,3.108903408050537,0.05254166,6.0990681648254395
119,12.653,0.518,0.505,97,1589248,0.577,-0.079,0.021,-6.977318416131991,0.44581979513168335,0.0001,0.2,0.017022924323644592,8.710153749055952,0.33294392523364486,0.2,480,1.1799426078796387,0.026978098,8.298022270202637
119,13.732,0.548,0.535,98,1605632,0.6,-0.075,0.022,-6.987874358467907,0.4668377637863159,0.0001,0.2,-0.02258486708525324,7.950639992357998,0.4461805555555556,0.2,485,3.9228062629699707,0.051336404,8.052846908569336
120,13.369,0.543,0.529,99,1622016,0.598,-0.075,0.021,-6.994676989627022,0.4694439768791199,0.0001,0.2,0.005401591878018283,7.922788201039926,0.3917539739884393,0.2,490,1.9419517517089844,0.043640375,5.339534759521484
119,12.265,0.519,0.49,100,1638400,0.573,-0.072,0.019,-6.970870767320905,0.4555816054344177,0.0001,0.2,-0.018750353960684193,8.225929071187277,0.44223760932944606,0.2,495,3.833077907562256,0.049886655,5.719799518585205
119,13.102,0.515,0.508,101,1654784,0.575,-0.078,0.018,-6.920760021596996,0.41789013147354126,0.0001,0.2,-0.02544099935755928,8.85649216477641,0.4536008883248731,0.2,500,4.389883756637573,0.06167375,4.087028503417969
120,13.236,0.475,0.518,102,1671168,0.541,-0.082,0.016,-6.967750443005171,0.45446574687957764,0.0001,0.2,-0.017572541443295165,7.9159534032227565,0.4319672131147541,0.2,505,3.3942558765411377,0.0534629,4.858855247497559
120,12.865,0.51,0.512,103,1687552,0.571,-0.08,0.019,-6.97144781526669,0.42794835567474365,0.0001,0.2,0.022749670449095642,8.677100469899733,0.3679142441860465,0.2,510,1.4429287910461426,0.084823616,6.444112777709961
120,13.255,0.516,0.516,104,1703936,0.57,-0.073,0.019,-6.936588244631111,0.4507024884223938,0.0001,0.2,-0.023462261552411007,8.321868299748855,0.44258038294797686,0.2,515,3.857150077819824,0.05094892,5.107731819152832
119,12.519,0.553,0.535,105,1720320,0.61,-0.078,0.021,-6.895777220761509,0.438190758228302,0.0001,0.2,-0.02836520444352189,8.496545539600382,0.44955800248138955,0.2,520,4.5116286277771,0.06096549,5.968067169189453
120,14.614,0.549,0.545,106,1736704,0.6,-0.075,0.024,-6.899767465369646,0.4579382538795471,0.0001,0.2,0.018637568650175202,8.207450009131616,0.34762596899224807,0.2,525,1.4389333724975586,0.07608928,5.1836161613464355
120,13.31,0.521,0.535,107,1753088,0.581,-0.078,0.018,-6.872118799819559,0.44302040338516235,0.0001,0.2,-0.0014869920852674445,8.368963686947895,0.3920130076142132,0.2,530,2.1969783306121826,0.040934905,4.732455253601074
119,12.601,0.512,0.508,108,1769472,0.57,-0.079,0.02,-6.862475083733247,0.44950538873672485,0.0001,0.2,-0.014473609503998298,8.521572604323879,0.4248211279461279,0.2,535,3.3207437992095947,0.0533763,5.721775054931641
119,13.32,0.502,0.517,109,1785856,0.562,-0.078,0.018,-6.824068156155673,0.43153858184814453,0.0001,0.2,-0.024966827842902828,8.742968166648568,0.44640827922077925,0.2,540,4.274389266967773,0.08057839,7.464201927185059
119,12.938,0.48,0.508,110,1802240,0.544,-0.081,0.018,-6.873613761679474,0.4523774981498718,0.0001,0.2,-0.00318166251908236,8.353328508111929,0.4054792600896861,0.2,545,2.506681203842163,0.04237056,6.304993152618408
120,14.194,0.553,0.568,111,1818624,0.61,-0.078,0.022,-6.922680852851089,0.4452500343322754,0.0001,0.2,-0.005045281498863989,8.35089451342213,0.4068558673469388,0.2,550,2.727771759033203,0.041737787,5.848575592041016
120,13.801,0.553,0.538,112,1835008,0.601,-0.072,0.024,-6.92565431560043,0.45488232374191284,0.0001,0.2,-0.01124569059206839,8.247452394805686,0.408702098540146,0.2,555,3.0428566932678223,0.052719656,6.138542175292969
120,13.638,0.517,0.54,113,1851392,0.577,-0.079,0.019,-6.952482796131783,0.4698854088783264,0.0001,0.2,-0.004176285548957154,7.991025585274509,0.40727347161572053,0.2,560,2.521860361099243,0.042864475,4.43949031829834
120,12.49,0.519,0.507,114,1867776,0.576,-0.077,0.02,-6.864786242579554,0.4569242000579834,0.0001,0.2,-0.002413634095458431,8.37228167164433,0.40544059684684686,0.2,565,2.45582914352417,0.042173162,8.257328987121582
120,12.587,0.485,0.502,115,1884160,0.546,-0.077,0.017,-6.7982472106814384,0.4412751793861389,0.0001,0.2,-0.01722990035195835,8.499905198812485,0.4360107421875,0.2,570,3.510128974914551,0.05071315,5.690951347351074
