time/fps,rollout/rew_collision,time/iterations,rollout/total_reward,rollout/rew_surface_coverage_2d,rollout/episode_reward,rollout/rew_termination,rollout/episode_length,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/entropy_loss,train/loss,train/clip_range_vf,train/learning_rate,time/training,train/clip_fraction,train/explained_variance
254,-0.065,92,0.592,0.636,0.575,0.022,19.333,1507328,0.2,-0.03416853146336507,0.2024267,455,5.091096896678209,-3.0731544084846973,2.1387887001037598,0.2,0.0001,6.554842233657837,0.487646484375,0.6693293750286102
255,-0.067,93,0.534,0.582,0.588,0.018,19.937,1523712,0.2,-0.03364284828276141,0.18838394,460,5.414660028740764,-3.017890002951026,3.8234524726867676,0.2,0.0001,6.427917957305908,0.476171875,0.6704327464103699
255,-0.07,94,0.506,0.558,0.553,0.019,18.756,1540096,0.2,-0.014286507926971732,0.21224399,465,5.284995918135041,-3.0228671518344323,2.382326126098633,0.2,0.0001,4.144782304763794,0.44525561286407767,0.6638452112674713
255,-0.065,95,0.6,0.64,0.572,0.024,19.681,1556480,0.2,-0.008568032516140333,0.14866291,470,5.351946713219227,-2.9829364360218316,3.2481300830841064,0.2,0.0001,3.5843708515167236,0.42704665492957744,0.6566806435585022
255,-0.064,96,0.552,0.596,0.567,0.02,19.793,1572864,0.2,-0.011065968084879276,0.30681652,475,5.281498493449547,-3.017610537668733,4.772826194763184,0.2,0.0001,3.908813714981079,0.44667818123393316,0.662967324256897
254,-0.061,97,0.566,0.604,0.588,0.023,20.328,1589248,0.2,-0.011624662339281623,0.19771808,480,5.750596092479063,-2.963924015512561,3.4341769218444824,0.2,0.0001,4.079653739929199,0.4316986386138614,0.6361753344535828
256,-0.057,98,0.6,0.634,0.604,0.023,20.417,1605632,0.2,-0.021246225492137928,0.17386094,485,5.246463570387467,-2.995263771907143,2.9901463985443115,0.2,0.0001,4.613745450973511,0.44772418478260867,0.6618884801864624
256,-0.064,99,0.533,0.578,0.57,0.019,19.709,1622016,0.2,-0.030844916779034098,0.203663,490,4.970679574999316,-3.0767036820280143,3.336181402206421,0.2,0.0001,5.817354202270508,0.4728582974137931,0.6776823401451111
257,-0.058,100,0.574,0.61,0.588,0.021,20.412,1638400,0.2,-0.03504626764915884,0.17964208,495,5.429190491512418,-3.063011549040675,3.1317429542541504,0.2,0.0001,6.451662540435791,0.48017578125,0.6512347161769867
255,-0.065,101,0.555,0.597,0.569,0.022,20.068,1654784,0.2,-0.02610838783670769,0.2360011,500,5.569665037445011,-3.0144538078701744,2.3355836868286133,0.2,0.0001,5.380533933639526,0.45781543151969983,0.6501183211803436
255,-0.06,102,0.564,0.601,0.582,0.023,19.387,1671168,0.2,0.014940325587910289,0.14610526,505,5.689673540492852,-3.037098877131939,3.923983097076416,0.2,0.0001,1.9442253112792969,0.3797200520833333,0.6498185694217682
255,-0.066,103,0.512,0.559,0.559,0.019,18.968,1687552,0.2,-0.007347752396542001,0.14662975,510,5.3429456871999825,-3.069517957660514,2.616065502166748,0.2,0.0001,3.5537004470825195,0.4261223591549296,0.6539476215839386
255,-0.053,104,0.601,0.63,0.572,0.024,19.274,1703936,0.2,-0.005123838045983575,0.14349568,515,5.471759339421988,-3.1115457698702813,5.536962985992432,0.2,0.0001,3.207730770111084,0.4233642578125,0.6440628468990326
253,-0.061,105,0.583,0.622,0.566,0.022,19.342,1720320,0.2,-0.02340593997160999,0.16068695,520,5.113730001449585,-3.0639099208676086,2.6748149394989014,0.2,0.0001,4.897992849349976,0.4528698979591837,0.6778362095355988
